#
# Lista de municipios de las 32 entidades federativas
# Fuente: Instituto Nacional de Estadística y Geografía (INEGI)
# Enlace: http://www.inegi.org.mx/geo/contenidos/geoestadistica/catalogoclaves.aspx
#

#
# Palabras y letras removidas: "de", "del", "el", "gran", "la", "las", "los", "san", "santa", "santo", "y"
#

#
# [01] Aguascalientes
#

Aguascalientes			#Aguascalientes
Asientos			#Asientos
Calvillo			#Calvillo
Cosío				#Cosío
María				#Jesús María
Pabellón			#Pabellón de Arteaga
Arteaga				#Pabellón de Arteaga
Rincón				#Rincón de Romos
Romos				#Rincón de Romos
José				#San José de Gracia
Gracia				#San José de Gracia
Tepezalá			#Tepezalá
Llano				#El Llano
Romo				#San Francisco de los Romo

#
# [02] Baja California
#

Ensenada			#Ensenada
Mexicali			#Mexicali
Tecate				#Tecate
Tijuana				#Tijuana
Playas				#Playas de Rosarito
Rosarito			#Playas de Rosarito

#
# [03] Baja California Sur
#

Comondú				#Comondú
Mulegé				#Mulegé
Paz				#La Paz
Cabos				#Los Cabos
Loreto				#Loreto

#
# [04] Campeche
#

Calkiní				#Calkiní
Campeche			#Campeche
Carmen				#Carmen
Champotón			#Champotón
Hecelchakán			#Hecelchakán
Hopelchén			#Hopelchén
Palizada			#Palizada
Tenabo				#Tenabo
Escárcega			#Escárcega
Calakmul			#Calakmul
Candelaria			#Candelaria

#
# [05] Coahuila de Zaragoza
#

Abasolo				#Abasolo
Acuña				#Acuña
Allende				#Allende
Arteaga				#Arteaga
Candela				#Candela
Castaños			#Castaños
Cuatro				#Cuatro Ciénegas
Ciénegas			#Cuatro Ciénegas
Escobedo			#Escobedo
Madero				#Francisco I. Madero
Frontera			#Frontera
General				#General Cepeda
Cepeda				#General Cepeda
Guerrero			#Guerrero
Hidalgo				#Hidalgo
Jiménez				#Jiménez
Juárez				#Juárez
Lamadrid			#Lamadrid
Matamoros			#Matamoros
Monclova			#Monclova
Morelos				#Morelos
Múzquiz				#Múzquiz
Nadadores			#Nadadores
Nava				#Nava
Ocampo				#Ocampo
Parras				#Parras
Piedras				#Piedras Negras
Negras				#Piedras Negras
Progreso			#Progreso
Ramos				#Ramos Arizpe
Arizpe				#Ramos Arizpe
Sabinas				#Sabinas
Sacramento			#Sacramento
Saltillo			#Saltillo
Buenaventura			#San Buenaventura
Juan				#San Juan de Sabinas
Sabinas				#San Juan de Sabinas
Pedro				#San Pedro
Sierra				#Sierra Mojada
Mojada				#Sierra Mojada
Torreón				#Torreón
Viesca				#Viesca
Villa				#Villa Unión
Unión				#Villa Unión
Zaragoza			#Zaragoza

#
# [06] Colima
#

Armería				#Armería
Colima				#Colima
Comala				#Comala
Coquimatlán			#Coquimatlán
Cuauhtémoc			#Cuauhtémoc
Ixtlahuacán			#Ixtlahuacán
Manzanillo			#Manzanillo
Minatitlán			#Minatitlán
Tecomán				#Tecomán
Álvarez				#Villa de Álvarez

#
# [07] Chiapas
#

Acacoyagua			#Acacoyagua
Acala				#Acala
Acapetahua			#Acapetahua
Altamirano			#Altamirano
Amatán				#Amatán
Amatenango			#Amatenango de la Frontera
Frontera			#Amatenango de la Frontera
Amatenango			#Amatenango del Valle
Angel				#Angel Albino Corzo
Albino				#Angel Albino Corzo
Corzo				#Angel Albino Corzo
Arriaga				#Arriaga
Bejucal				#Bejucal de Ocampo
Bella				#Bella Vista
Vista				#Bella Vista
Berriozábal			#Berriozábal
Bochil				#Bochil
Bosque				#El Bosque
Cacahoatán			#Cacahoatán
Catazajá			#Catazajá
Cintalapa			#Cintalapa
Coapilla			#Coapilla
Comitán				#Comitán de Domínguez
Domínguez			#Comitán de Domínguez
Concordia			#La Concordia
Copainalá			#Copainalá
Chalchihuitán			#Chalchihuitán
Chamula				#Chamula
Chanal				#Chanal
Chapultenango			#Chapultenango
Chenalhó			#Chenalhó
Chiapa				#Chiapa de Corzo
Corzo				#Chiapa de Corzo
Chiapilla			#Chiapilla
Chicoasén			#Chicoasén
Chicomuselo			#Chicomuselo
Chilón				#Chilón
Escuintla			#Escuintla
Francisco			#Francisco León
Frontera			#Frontera Comalapa
Comalapa			#Frontera Comalapa
Hidalgo				#Frontera Hidalgo
Grandeza			#La Grandeza
Huehuetán			#Huehuetán
Huixtán				#Huixtán
Huitiupán			#Huitiupán
Huixtla				#Huixtla
Independencia			#La Independencia
Ixhuatán			#Ixhuatán
Ixtacomitán			#Ixtacomitán
Ixtapa				#Ixtapa
Ixtapangajoya			#Ixtapangajoya
Jiquipilas			#Jiquipilas
Jitotol				#Jitotol
Juárez				#Juárez
Larráinzar			#Larráinzar
Libertad			#La Libertad
Mapastepec			#Mapastepec
Margaritas			#Las Margaritas
Mazapa				#Mazapa de Madero
Mazatán				#Mazatán
Metapa				#Metapa
Mitontic			#Mitontic
Motozintla			#Motozintla
Nicolás				#Nicolás Ruíz
Ocosingo			#Ocosingo
Ocotepec			#Ocotepec
Ocozocoautla			#Ocozocoautla de Espinosa
Espinosa			#Ocozocoautla de Espinosa
Ostuacán			#Ostuacán
Osumacinta			#Osumacinta
Oxchuc				#Oxchuc
Palenque			#Palenque
Pantelhó			#Pantelhó
Pantepec			#Pantepec
Pichucalco			#Pichucalco
Pijijiapan			#Pijijiapan
Porvenir			#El Porvenir
Comaltitlán			#Villa Comaltitlán
Solistahuacán			#Pueblo Nuevo Solistahuacán
Rayón				#Rayón
Reforma				#Reforma
Rosas				#Las Rosas
Sabanilla			#Sabanilla
Salto				#Salto de Agua
Agua				#Salto de Agua
Cristóbal			#San Cristóbal de las Casas
Casas				#San Cristóbal de las Casas
Fernando			#San Fernando
Siltepec			#Siltepec
Simojovel			#Simojovel
Sitalá				#Sitalá
Socoltenango			#Socoltenango
Solosuchiapa			#Solosuchiapa
Soyaló				#Soyaló
Suchiapa			#Suchiapa
Suchiate			#Suchiate
Sunuapa				#Sunuapa
Tapachula			#Tapachula
Tapalapa			#Tapalapa
Tapilula			#Tapilula
Tecpatán			#Tecpatán
Tenejapa			#Tenejapa
Teopisca			#Teopisca
Tila				#Tila
Tonalá				#Tonalá
Totolapa			#Totolapa
Trinitaria			#La Trinitaria
Tumbalá				#Tumbalá
Tuxtla				#Tuxtla Gutiérrez
Gutiérrez			#Tuxtla Gutiérrez
Chico				#Tuxtla Chico
Tuzantán			#Tuzantán
Tzimol				#Tzimol
Unión				#Unión Juárez
Venustiano			#Venustiano Carranza
Corzo				#Villa Corzo
Villaflores			#Villaflores
Yajalón				#Yajalón
Lucas				#San Lucas
Zinacantán			#Zinacantán
